episode,timestep,reward
12,4500,-104.571
22,9000,-101.907
37,13500,-100.3043
41,18000,-91.9417
46,22500,-87.449
55,27000,-97.5394
59,31500,-81.8377
64,36000,-87.1688
73,40500,-92.0793
77,45000,-85.0939
84,49500,-93.0252
88,54000,-82.7119
91,58500,-73.0917
94,63000,-71.464
98,67500,-77.8339
106,72000,-94.2323
110,76500,-81.8021
117,81000,-87.2261
120,85500,-73.6783
123,90000,-84.318
126,94500,-70.1032
130,99000,-78.716
133,103500,-71.7131
137,108000,-77.5192
140,112500,-69.6321
144,117000,-79.5191
149,121500,-86.7737
153,126000,-78.208
156,130500,-68.787
159,135000,-70.3679
162,139500,-66.7906
165,144000,-68.5205
169,148500,-79.3878
172,153000,-66.1241
175,157500,-64.5416
179,162000,-78.0759
182,166500,-64.397
185,171000,-70.6321
188,175500,-71.6472
191,180000,-64.0144
195,184500,-75.1164
198,189000,-66.1579
201,193500,-62.9
204,198000,-65.2477
207,202500,-66.3937
210,207000,-55.6116
213,211500,-57.0161
216,216000,-58.5435
219,220500,-51.0934
222,225000,-54.9145
225,229500,-52.4791
229,234000,-65.8416
232,238500,-52.1516
235,243000,-49.8642
238,247500,-47.8214
241,252000,-44.625
244,256500,-39.885
247,261000,-44.5231
250,265500,-46.2032
253,270000,-39.6196
256,274500,-38.7854
259,279000,-38.6661
262,283500,-39.0853
265,288000,-28.8825
268,292500,-24.7839
272,297000,-48.9161
276,301500,-50.1378
279,306000,-25.3916
283,310500,-38.4377
286,315000,-26.3032
289,319500,-17.6126
292,324000,-7.7871
295,328500,-1.4541
298,333000,-8.0761
301,337500,-9.497
304,342000,-4.2518
307,346500,-5.6144
310,351000,10.9143
313,355500,-3.2582
316,360000,5.7253
319,364500,13.5281
323,369000,-22.1605
326,373500,14.9444
329,378000,15.8698
332,382500,10.3924
335,387000,34.3392
338,391500,30.048
341,396000,20.783
344,400500,30.4377
347,405000,40.7582
350,409500,27.5041
353,414000,36.7229
356,418500,41.0076
359,423000,44.0459
362,427500,46.4488
365,432000,56.1579
368,436500,53.6432
371,441000,59.9569
374,445500,58.2011
377,450000,68.8431
381,454500,26.5003
384,459000,59.145
387,463500,70.286
390,468000,61.9173
393,472500,65.7785
396,477000,67.0964
399,481500,73.9917
402,486000,15.931
406,490500,10.7448
410,495000,26.5043
413,499500,70.3429
416,504000,66.8596
419,508500,87.4278
422,513000,74.8087
425,517500,96.3145
428,522000,67.8414
431,526500,84.1777
434,531000,83.8318
437,535500,86.7648
440,540000,105.5062
444,544500,39.891
447,549000,91.8578
450,553500,100.9332
454,558000,38.7219
458,562500,47.3665
461,567000,102.3916
464,571500,108.6497
467,576000,105.807
470,580500,101.0512
474,585000,30.9616
477,589500,109.6746
480,594000,77.9562
485,598500,4.0921
488,603000,109.5354
491,607500,70.7161
494,612000,123.4616
497,616500,91.5086
501,621000,79.1698
505,625500,11.0471
511,630000,-25.6698
517,634500,-31.0797
521,639000,54.9055
524,643500,111.4868
527,648000,38.3937
531,652500,58.9131
534,657000,111.7737
537,661500,120.3283
541,666000,31.3782
547,670500,22.3984
550,675000,112.0612
553,679500,126.2357
557,684000,1.5529
560,688500,103.9545
564,693000,65.9808
568,697500,69.5664
571,702000,63.8141
574,706500,80.4692
579,711000,25.8128
584,715500,33.1245
588,720000,62.7943
592,724500,59.2011
596,729000,62.9653
600,733500,63.3438
604,738000,61.4143
607,742500,112.4946
610,747000,120.8169
615,751500,8.6614
620,756000,-17.0855
623,760500,122.3815
